trip_id,start_time,end_time,tripduration,from_station_id,to_station_id,usertype,gender,birthyear
23946925,2019/7/24 22:58,2019/7/24 23:15,990,298,325,Subscriber,Male,1994
23946926,2019/7/24 22:58,2019/7/24 23:06,488,232,117,Subscriber,Male,1988
23946927,2019/7/24 22:58,2019/7/24 23:15,1037,298,87,Subscriber,Male,
23946928,2019/7/24 22:58,2019/7/24 23:57,3544,198,133,Customer,,
23946930,2019/7/24 22:58,2019/7/24 23:14,964,298,325,Subscriber,Female,1995
23946931,2019/7/24 22:59,2019/7/24 23:19,1224,182,637,Customer,,
23946932,2019/7/24 22:59,2019/7/24 23:20,1301,289,505,Customer,Male,
23946933,2019/7/24 22:59,2019/7/24 23:06,431,178,370,Subscriber,Male,1983
23946934,2019/7/24 22:59,2019/7/24 23:06,431,140,138,Subscriber,Male,1992
23946935,2019/7/24 22:59,2019/7/24 23:18,1116,301,188,Subscriber,Male,
23946936,2019/7/24 22:59,2019/7/24 23:20,1235,90,6,Customer,,
23946937,2019/7/24 22:59,2019/7/24 23:14,896,176,225,Subscriber,Male,1988
23946938,2019/7/24 22:59,2019/7/24 23:14,895,232,344,Subscriber,Male,1988
23946939,2019/7/24 23:00,2019/7/24 23:44,2659,128,295,Customer,,
23946940,2019/7/24 23:00,2019/7/24 23:20,1215,90,6,Customer,,
23946941,2019/7/24 23:00,2019/7/24 23:10,629,90,175,Subscriber,Male,1987
23946942,2019/7/24 23:00,2019/7/24 23:05,319,315,219,Subscriber,Male,1990
23946944,2019/7/24 23:01,2019/7/24 23:03,158,301,291,Subscriber,Male,1991
23946945,2019/7/24 23:01,2019/7/24 23:05,224,141,288,Subscriber,Male,1989
23946946,2019/7/24 23:01,2019/7/24 23:07,363,293,294,Subscriber,Male,1990
23946947,2019/7/24 23:02,2019/7/24 23:11,560,210,622,Subscriber,Female,1981
23946948,2019/7/24 23:02,2019/7/24 23:16,823,86,110,Subscriber,Male,1983
23946949,2019/7/24 23:02,2019/7/24 23:06,222,282,170,Subscriber,Male,1972
23946950,2019/7/24 23:02,2019/7/24 23:07,252,128,374,Customer,,
23946951,2019/7/24 23:03,2019/7/24 23:39,2187,35,124,Customer,,
23946952,2019/7/24 23:03,2019/7/24 23:16,801,291,327,Subscriber,Male,1994
23946953,2019/7/24 23:03,2019/7/24 23:23,1213,317,41,Subscriber,Male,
23946954,2019/7/24 23:03,2019/7/24 23:16,767,303,87,Subscriber,Male,1995
23946955,2019/7/24 23:04,2019/7/24 23:27,1402,98,370,Subscriber,Male,
23946956,2019/7/24 23:04,2019/7/24 23:22,1096,623,147,Subscriber,Male,
23946957,2019/7/24 23:04,2019/7/24 23:22,1104,623,147,Subscriber,Female,
23946958,2019/7/24 23:04,2019/7/24 23:19,893,229,311,Subscriber,Male,1984
23946959,2019/7/24 23:04,2019/7/24 23:16,755,303,87,Subscriber,Male,1993
23946960,2019/7/24 23:05,2019/7/24 23:16,653,128,373,Subscriber,Male,1981
23946961,2019/7/24 23:05,2019/7/24 23:23,1095,177,245,Subscriber,Female,
23946962,2019/7/24 23:05,2019/7/24 23:40,2099,107,45,Customer,,
23946963,2019/7/24 23:05,2019/7/24 23:13,501,157,340,Subscriber,Male,1999
23946964,2019/7/24 23:05,2019/7/24 23:09,223,315,315,Customer,,
23946965,2019/7/24 23:05,2019/7/24 23:11,343,182,627,Subscriber,Male,1992
23946966,2019/7/24 23:05,2019/7/24 23:19,857,359,172,Customer,Female,1985
23946967,2019/7/24 23:05,2019/7/24 23:40,2073,107,45,Customer,,
23946968,2019/7/24 23:05,2019/7/24 23:15,575,310,113,Subscriber,Male,1997
23946969,2019/7/24 23:05,2019/7/24 23:40,2070,107,45,Customer,,
23946970,2019/7/24 23:05,2019/7/24 23:09,220,67,343,Customer,Male,1996
23946971,2019/7/24 23:06,2019/7/24 23:11,316,243,297,Subscriber,Male,1983
23946972,2019/7/24 23:05,2019/7/24 23:31,1510,249,472,Subscriber,Male,
23946973,2019/7/24 23:06,2019/7/24 23:26,1160,47,177,Subscriber,Male,
23946974,2019/7/24 23:07,2019/7/24 23:23,991,127,259,Subscriber,Male,1989
23946975,2019/7/24 23:07,2019/7/24 23:40,1968,107,45,Customer,,
23946976,2019/7/24 23:07,2019/7/24 23:22,920,225,299,Customer,Female,1996
23946977,2019/7/24 23:08,2019/7/24 23:13,327,123,116,Subscriber,Female,1992
23946978,2019/7/24 23:08,2019/7/24 23:16,469,370,62,Subscriber,Male,1983
23946979,2019/7/24 23:08,2019/7/24 23:26,1119,332,326,Subscriber,Female,
23946980,2019/7/24 23:08,2019/7/24 23:22,844,225,299,Subscriber,Male,1994
23946981,2019/7/24 23:08,2019/7/24 23:18,620,205,22,Subscriber,Male,1996
23946982,2019/7/24 23:08,2019/7/24 23:27,1101,112,106,Subscriber,Female,
23946983,2019/7/24 23:08,2019/7/24 23:11,156,22,320,Subscriber,Male,1996
23946984,2019/7/24 23:09,2019/7/24 23:16,468,15,124,Customer,Male,1989
23946985,2019/7/24 23:09,2019/7/24 23:29,1206,35,331,Customer,Female,
23946986,2019/7/24 23:09,2019/7/24 23:25,976,257,295,Subscriber,Male,1993
23946987,2019/7/24 23:09,2019/7/24 23:29,1179,35,331,Customer,Female,
23946988,2019/7/24 23:10,2019/7/24 23:22,773,289,66,Subscriber,Male,1996
23946989,2019/7/24 23:10,2019/7/24 23:38,1687,255,22,Subscriber,Female,
23946990,2019/7/24 23:10,2019/7/24 23:12,126,638,36,Subscriber,Male,1985
23946991,2019/7/24 23:10,2019/7/24 23:38,1676,255,22,Subscriber,Male,
23946992,2019/7/24 23:11,2019/7/24 23:31,1222,67,183,Customer,,
23946993,2019/7/24 23:11,2019/7/24 23:16,308,66,212,Subscriber,Male,1987
23946994,2019/7/24 23:11,2019/7/24 23:21,627,134,202,Subscriber,Male,1995
23946995,2019/7/24 23:11,2019/7/24 23:14,193,110,140,Subscriber,Male,1994
23946996,2019/7/24 23:11,2019/7/24 23:18,423,325,231,Subscriber,Male,1987
23946997,2019/7/24 23:11,2019/7/24 23:33,1310,627,160,Subscriber,Male,
23946998,2019/7/24 23:11,2019/7/24 23:18,407,153,327,Subscriber,Male,1994
23946999,2019/7/24 23:11,2019/7/24 23:21,596,134,202,Subscriber,Male,1996
23947000,2019/7/24 23:11,2019/7/24 23:16,289,260,500,Subscriber,Male,1992
23947001,2019/7/24 23:11,2019/7/24 23:27,933,298,308,Customer,Male,1991
