data__stations__name,data__stations__lat,data__stations__lon,data__stations__station_id,data__stations__station_type
Buckingham Fountain,41.87651123,-87.62054801,2,classic
Shedd Aquarium,41.86722596,-87.61535539,3,classic
Burnham Harbor,41.856268,-87.613348,4,classic
State St & Harrison St,41.874053,-87.627716,5,classic
Dusable Harbor,41.886976,-87.612813,6,classic
Field Blvd & South Water St,41.88634906,-87.61751655,7,classic
Leavitt St & Archer Ave,41.82879202,-87.68060446,9,classic
Jeffery Blvd & 71st St,41.76663824,-87.57645011,11,classic
South Shore Dr & 71st St,41.76640946,-87.56568757,12,classic
Wilton Ave & Diversey Pkwy,41.932418,-87.652705,13,classic
Morgan St & 18th St,41.858086,-87.651073,14,classic
Racine Ave & 18th St,41.858166,-87.656495,15,classic
Paulina Ave & North Ave,41.910337,-87.670072,16,classic
Honore St & Division St,41.903119,-87.673935,17,classic
Wacker Dr & Washington St,41.883132,-87.637321,18,classic
Throop (Loomis) St & Taylor St,41.868968,-87.659141,19,classic
Sheffield Ave & Kingsbury St,41.910522,-87.653106,20,classic
Aberdeen St & Jackson Blvd,41.87772613,-87.65478743,21,classic
May St & Taylor St,41.8694821,-87.6554864,22,classic
Orleans St & Elm St,41.902924,-87.637715,23,classic
Fairbanks Ct & Grand Ave,41.89184737,-87.6205802,24,classic
Michigan Ave & Pearson St,41.89766,-87.62351,25,classic
McClurg Ct & Illinois St,41.890359,-87.617532,26,classic
Larrabee St & North Ave,41.91021,-87.6435,27,classic
Larrabee St & Menomonee St,41.91468,-87.64332,28,classic
Noble St & Milwaukee Ave,41.90068,-87.6626,29,classic
Ashland Ave & Augusta Blvd,41.899643,-87.6677,30,classic
Franklin St & Chicago Ave,41.89674697,-87.63566762,31,classic
Racine Ave & Congress Pkwy,41.87464,-87.65703,32,classic
State St & Van Buren St,41.877181,-87.627844,33,classic
Cannon Dr & Fullerton Ave,41.92675599,-87.63442878,34,classic
Streeter Dr & Grand Ave,41.892278,-87.612043,35,classic
Franklin St & Jackson Blvd,41.87770796,-87.63532114,36,classic
Dearborn St & Adams St,41.87935636,-87.62979104,37,classic
Clark St & Lake St,41.88602083,-87.63087606,38,classic
Wabash Ave & Adams St,41.87947235,-87.62568861,39,classic
LaSalle St & Adams St,41.87934437,-87.63198522,40,classic
Federal St & Polk St,41.87207763,-87.62954377,41,classic
Wabash Ave & Cermak Rd,41.852619,-87.626488,42,classic
Michigan Ave & Washington St,41.88398406,-87.62468398,43,classic
State St & Randolph St,41.8847302,-87.62773357,44,classic
Michigan Ave & Ida B Wells Dr,41.876243,-87.624426,45,classic
Wells St & Walton St,41.89993001,-87.63443007,46,classic
State St & Kinzie St,41.889187,-87.627754,47,classic
Larrabee St & Kingsbury St,41.897764,-87.642884,48,classic
Dearborn St & Monroe St,41.88131982,-87.62952092,49,classic
Clark St & Ida B Wells Dr,41.87593267,-87.63058454,50,classic
Clark St & Randolph St,41.88457623,-87.63188991,51,classic
Michigan Ave & Lake St,41.886024,-87.624117,52,classic
Wells St & Huron St,41.894722,-87.634362,53,classic
Ogden Ave & Chicago Ave,41.89636246,-87.65406127,54,classic
Halsted St & Roosevelt Rd,41.867324,-87.648625,55,classic
Desplaines St & Kinzie St,41.88871604,-87.64444785,56,classic
Clinton St & Roosevelt Rd,41.86711778,-87.64108796,57,classic
Marshfield Ave & Cortland St,41.916017,-87.668879,58,classic
Wabash Ave & Roosevelt Rd,41.867227,-87.625961,59,classic
Dayton St & North Ave,41.91057803,-87.64942193,60,classic
Wood St & Milwaukee Ave,41.907655,-87.672552,61,classic
McCormick Place,41.85137517,-87.61883465,62,classic
Clinton St & Lake St,41.885637,-87.641823,66,classic
